# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 1500, mean observations per image: 4443.9660000000003
1 0.99985342132125432 0.0053074183896196676 -0.0066825636402946757 -0.014842861092564847 -0.15623533637054587 -1.8185504712067064 5.8535933682047476 1 17032618860616.png
2 0.99986147187673691 0.0041763370433085438 -0.0063980284321416142 -0.014787173413719493 -0.15268666602600867 -1.8054153453673476 5.8577103387993157 1 17032618861283.png
3 0.99985005863447707 0.0055492377007508899 -0.0068215245003790427 -0.014917540449559277 -0.15802831590217836 -1.820087645734616 5.8514419534275541 1 17032618861950.png
4 0.99986199197962267 0.0048606992448727692 -0.0061716576997465919 -0.014638348220650329 -0.14893938365193282 -1.8124113612832171 5.8524623402474809 1 17032618862617.png
5 0.9998726048147667 0.0044201466960228468 -0.0055823873148941813 -0.014285425999440641 -0.14058267108284761 -1.8072376971588389 5.8519667882927919 1 17032618863285.png
6 0.99987906598813003 0.0038747938555745856 -0.0050827343000302101 -0.014177629679071659 -0.13439360802195019 -1.8001480892599486 5.8513618418117117 1 17032618863952.png
7 0.9998749617026329 0.0051921622621460264 -0.0052469743489350785 -0.013984694182695172 -0.13562565216605571 -1.8131131657622932 5.8429469531584335 1 17032618864619.png
8 0.99986966529774213 0.0054372755190959157 -0.0051567462518879786 -0.014300224487899657 -0.13546237536359093 -1.814727821556845 5.8378379817681658 1 17032618865286.png
9 0.99988199145923173 0.0049225318458643273 -0.004960062594926231 -0.01368099465689512 -0.13044167790386343 -1.8084986243301189 5.8351600010646214 1 17032618865954.png
10 0.99988527794387172 0.0046351676720106554 -0.0044261195833893065 -0.01372427182740168 -0.12370056652613236 -1.8032437754531441 5.8313754779636531 1 17032618866621.png
11 0.99989622888116481 0.0030064157770954103 -0.0033977719864762739 -0.01367289577698862 -0.11080502406126225 -1.7830853700508842 5.8321479332635562 1 17032618867288.png
12 0.99989801236782239 0.0047913534838959241 -0.0021191215120087109 -0.013285974510291723 -0.094218884853161336 -1.8017023328193631 5.8193646925503071 1 17032618867955.png
13 0.9998946608415058 0.0043582564912908453 -0.00045913761506744146 -0.013836979932658198 -0.076850088867927491 -1.7945121011958594 5.8145075615077566 1 17032618868623.png
14 0.99990342094619977 0.0039912820912345864 0.00026578869668063694 -0.01330968834059478 -0.066602226110423601 -1.7889014141194228 5.8087819756388814 1 17032618869290.png
15 0.99991493473676729 0.0030964757979564379 0.00029890747305537824 -0.01266671947749882 -0.063640512203727351 -1.7760627707535257 5.8046698575584443 1 17032618869957.png
16 0.99990946486825494 0.0030009491464931416 0.00013335135968370649 -0.013116348139437888 -0.066389938799936446 -1.773238561689418 5.7969247697714259 1 17032618870624.png
17 0.99989921408816085 0.0054295237181716865 0.00091526922537661713 -0.013086031496109291 -0.056736780156108217 -1.798106999036448 5.7793790586037188 1 17032618871292.png
18 0.99989917844909204 0.0045162752567399871 0.002143928779407338 -0.013290589303163045 -0.042009074180912979 -1.785076505900385 5.7740816835707864 1 17032618871959.png
19 0.99989155884906034 0.0032351639259591523 0.0044489466445165778 -0.01366056845532315 -0.016528144346718066 -1.7689544781923248 5.7697278570000465 1 17032618872626.png
20 0.99988254388029318 0.0040928330155845143 0.0062164881878660492 -0.013397851917016869 0.0044465956238513259 -1.7753467411062984 5.757045226555463 1 17032618873293.png
21 0.99987120609444624 0.0038999434647230941 0.0074018038729649896 -0.013695800949046424 0.016649164789805878 -1.7702577377620261 5.7479212800257455 1 17032618873961.png
22 0.99987853624394951 0.0047262244335186665 0.0076213248268125651 -0.012747194559797868 0.022031267901890927 -1.7761833402216387 5.734693868076735 1 17032618874628.png
23 0.99988781054269238 0.0036398844574849032 0.0070009156480757475 -0.012732036340109188 0.014823304003819933 -1.7610195388567051 5.7284070942006808 1 17032618875295.png
24 0.99990191430978337 0.0037803630186389759 0.0060160117930553288 -0.012069723161033205 0.0060874650584324987 -1.7600886595213976 5.7172455471315127 1 17032618875962.png
25 0.9999145212050965 0.0036411985418545048 0.0052751108014817052 -0.011395839696728275 0.00014336512463445812 -1.7540296103024129 5.7070554996341532 1 17032618876629.png
26 0.99991995055687843 0.0038690392181720437 0.0046019182548410328 -0.011133075147227365 -0.005761705682044994 -1.7530831755337326 5.6950592885543534 1 17032618877297.png
27 0.99991695089954835 0.0049723689325294309 0.00484347423986558 -0.010858526982831854 -0.0020711165784216418 -1.7617263778682746 5.6795993562461451 1 17032618877964.png
28 0.9999252241806631 0.0037012239243594692 0.005331717668165095 -0.010364351181792604 0.0052773726764576883 -1.7448148694080179 5.6728374060902915 1 17032618878631.png
29 0.99993143854641153 0.0034631587916069601 0.0054663042508239657 -0.0097593163451924272 0.0085831851953468551 -1.738551620575167 5.6620785015001607 1 17032618879298.png
30 0.99994219678653229 0.0012333921312349062 0.0051256760464574733 -0.0093706603097799268 0.0059512461054538526 -1.7107893018314391 5.6584552493311158 1 17032618879966.png
31 0.99993821597511579 0.0040185736462990439 0.0048967114767612891 -0.0091344137778737629 0.0044642904649999805 -1.7369454266438946 5.6365138495562768 1 17032618880633.png
