# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 1500, mean observations per image: 4194.2206666666671
1 0.99985187815600562 0.016973659164463393 -0.0028232748716417819 0.00038178721323563642 -2.9563683748934233 -7.3807684165341918 38.123066017900726 1 17032618860616.png
2 0.99978726094399739 0.020354385898952998 -0.0032888836799422 0.00056131356254839049 -2.9284701758582652 -7.2541539272981677 38.092379264822306 1 17032618861283.png
3 0.99983474591307397 0.017768653489790006 -0.0038363616383597083 0.0001953137949399013 -2.937333390416359 -7.3066188722440293 38.045074221207557 1 17032618861950.png
4 0.99986689255605177 0.016062284528779367 -0.002835172168285033 0.00040247335046986475 -2.8509994302777502 -7.2428506603875222 38.006259584968454 1 17032618862617.png
5 0.9999231369068905 0.012201171941981403 -0.0021444526656736488 0.0005029953189517101 -2.7763777348777481 -7.1810071867567578 37.921935969647294 1 17032618863285.png
6 0.99998331295980947 0.0054676743676104356 -0.0018503629685730797 0.00023344339400907415 -2.7199838963625766 -7.0658003927541806 37.806621166275463 1 17032618863952.png
7 0.9999894788450846 -0.0043035532460664154 -0.0015470486705015827 -0.00035814662579533574 -2.7268044221482484 -7.0345154682786681 37.670068734253704 1 17032618864619.png
8 0.99992598671006949 -0.012059507746791081 -0.0012065531123661322 -0.0010647085920274925 -2.7057279250013999 -6.963754791489607 37.524951005147976 1 17032618865286.png
9 0.99981201993542845 -0.019364015911391613 -0.0004606773024126972 -0.00086455586569771407 -2.6566909723431116 -6.873726194026025 37.354340829345112 1 17032618865954.png
10 0.99949624017729577 -0.031679980241367721 0.00079633155314748501 -0.001735102133452721 -2.5675542368042752 -6.6983186440605804 37.168475100344018 1 17032618866621.png
11 0.99900014950168492 -0.044571102830114083 0.0024105873412706459 -0.0025114053413718023 -2.4343911382851067 -6.4263283583749491 36.974227626799205 1 17032618867288.png
12 0.99828659121638152 -0.058274424486047978 0.0043123986136678278 -0.0030621016628828851 -2.2724848719847586 -6.426694691866274 36.743044861198896 1 17032618867955.png
13 0.99728213481842842 -0.07332523884208858 0.0057628679680226461 -0.0043060740276888252 -2.1017528949360584 -6.1983976773003882 36.491967934281014 1 17032618868623.png
14 0.99618302104812217 -0.086923128066735078 0.006718747877629507 -0.0043147200937637652 -2.02696638365562 -6.0319030379294247 36.235455235412388 1 17032618869290.png
15 0.99451489908082524 -0.10424981109770212 0.0071057083603501504 -0.0046477199837031066 -1.9989027565618136 -5.7440800025782037 35.950197439363365 1 17032618869957.png
16 0.99272266153832889 -0.11999048877887523 0.0082030175360402798 -0.0060589086613484075 -1.9860632446482982 -5.5898112460547837 35.655290045714572 1 17032618870624.png
17 0.99045252593725608 -0.13729683496040812 0.009849957279443983 -0.0075067513584008184 -1.8667538828775483 -5.5694464989862782 35.321748172338388 1 17032618871292.png
18 0.98787263727908214 -0.15459355005004621 0.011508524582175163 -0.0087201295940143135 -1.676499046768924 -5.2723631374191173 34.998356195623728 1 17032618871959.png
19 0.98498104493778504 -0.17182675313698961 0.013786294061624389 -0.0098917195530194776 -1.4638306343139407 -5.0011254265397733 34.662585227835422 1 17032618872626.png
20 0.98118600523158173 -0.19218879791842913 0.01493147322107932 -0.010702345528333266 -1.285437056039195 -4.7980312962176397 34.273858524533715 1 17032618873293.png
21 0.97719179317728122 -0.21146507993643285 0.015613568122110595 -0.011616187194763886 -1.1895283366006457 -4.5490040554263764 33.89150767616691 1 17032618873961.png
22 0.97278545671774963 -0.23091223729522656 0.015578257235182788 -0.01119427386062662 -1.170862222035671 -4.3657818172372309 33.497591839215147 1 17032618874628.png
23 0.96787494731214485 -0.25071738391520848 0.014867178610315798 -0.011740816342818133 -1.2378100332483239 -4.0703500544170579 33.102016600195171 1 17032618875295.png
24 0.96292204941846082 -0.26914967347578844 0.014036221421222348 -0.01194003768176981 -1.3116054116228868 -3.8991079560419477 32.6801735758715 1 17032618875962.png
25 0.95601674166529016 -0.29275823319092914 0.013124892281795522 -0.01234276132795048 -1.3584004012899942 -3.5868351985340232 32.230730899290123 1 17032618876629.png
26 0.94904519491937045 -0.31459839562331132 0.013216531611695649 -0.012899254391230016 -1.3772050813202368 -3.3631911577402347 31.787413514371792 1 17032618877297.png
27 0.94113085949821895 -0.33751598868673904 0.013355400063649377 -0.013315253286986966 -1.3441029789702921 -3.1906864944746394 31.311708720206656 1 17032618877964.png
28 0.93313108846361259 -0.35903030504403749 0.013682854944898777 -0.013281238016689905 -1.307016286705162 -2.8977272541024734 30.86093358260182 1 17032618878631.png
29 0.92415436807151807 -0.3815731179467472 0.01287575030656599 -0.013224019387982806 -1.2928194097890975 -2.6448240672281815 30.379021957133379 1 17032618879298.png
30 0.91507710412234156 -0.40287113521759965 0.012175628072864438 -0.013434879998830218 -1.3317667251045966 -2.296856178558687 29.900903826264692 1 17032618879966.png
31 0.90509265386228699 -0.42479716901163411 0.012626737329445347 -0.01397206601175072 -1.3290707116319236 -2.2334188360500504 29.387767514067818 1 17032618880633.png
32 0.894992927993702 -0.44566759851278476 0.012883256426257206 -0.014215209494162748 -1.2907982794782322 -1.9712600330489642 28.908697782112231 1 17032618881300.png
33 0.88691838574557402 -0.46148501232616795 0.013139541523264067 -0.015320341815385422 -1.1270656555651162 -1.7599184130135415 28.480321833879618 1 17032618881967.png
34 0.8764979045438962 -0.48095191070220167 0.014865909709970001 -0.014686308268436648 -0.92417104052780241 -1.5374568368441037 28.005958713504057 1 17032618882635.png
35 0.863914790739847 -0.50311378761143932 0.017037108249918373 -0.015410645628219411 -0.7199445044384698 -1.329654844281188 27.479203680526986 1 17032618883302.png
36 0.85046870664854146 -0.52547078887717169 0.01805769752058306 -0.016042088661243965 -0.6115298910648137 -1.0700461285361837 26.964949317211502 1 17032618883969.png
